,model,baseline,positive,neutral,negative
0,gemma-3-4b-it high ambiguity,0.6382800039555618,0.6589659445560377,0.6529429080751802,0.6286993957229956
1,Llama-3.2-3B-Instruct high ambiguity,0.5609222831143226,0.5225178670148506,0.5226689254095059,0.5124228488883817
2,Qwen3-4B high ambiguity,0.6387496105100734,0.6913192290145243,0.6694435272039376,0.6142359262854403
3,GPT-4.1 high ambiguity,0.7087504496576503,0.7180773643192692,0.7168558126122867,0.7000680182074054
4,gemma-3-4b-it low ambiguity,0.9755220406543832,0.9807025661764932,0.9791184765352277,0.9581389515360118
5,Llama-3.2-3B-Instruct low ambiguity,0.9619962646411917,0.7469317165672072,0.7571055627790569,0.6650546640702223
6,Qwen3-4B low ambiguity,0.9798399319374549,0.9905059688822787,0.9878710631429924,0.8609348500121338
7,Qwen3-4B low ambiguity short,0.9546024462324688,0.9929751506409923,0.9936961173279462,0.88041055930931
8,GPT-4.1 low ambiguity,0.9981679034374863,0.9970971881455882,0.996441213591801,0.9875409682655305
9,gemma-3-4b-pt low ambiguity,0.7257715757478655,0.6696892958012342,0.6542583943382514,0.6391759223578861
10,Llama-3.2-3B low ambiguity,0.723125087501048,0.7037784418967886,0.7142961953892646,0.6721522159661163
11,Qwen3-4B-Base low ambiguity,0.654827449707966,0.6221766544386859,0.6018312998675327,0.5874310730844808
12,gemma-3-4b-it multimodal high ambiguity,0.6393375721434228,0.6490381134218107,0.6435095462747105,0.6278533018435435
13,gemma-3-4b-it multimodal low ambiguity,0.9742338494388281,0.9775851204690318,0.9768883713146771,0.9627053308901021
14,gemma-3-1b-it low ambiguity,0.9104880629419815,0.9414901213261472,0.9104958710101124,0.7739144808211946
15,gemma-3-270m-it low ambiguity,0.48615069175037595,0.4945264860427002,0.4943425227848763,0.49683633601197874
16,Llama-3.2-1B-Instruct low ambiguity,0.6488988429927797,0.6599806627665898,0.6590331735095335,0.6189221540075189
17,Qwen3-1.7B low ambiguity,0.9567518495649596,0.9096724997702554,0.904388474289816,0.8746607387659207
18,Qwen3-0.6B low ambiguity,0.8080171896144621,0.73966890659527,0.7132082879496776,0.6676917578227254
19,Qwen3-4B thinking high ambiguity,0.5700293360927329,0.6359531851094338,0.6002492030298293,0.5920023845328571
20,Qwen3-4B thinking low ambiguity,0.9937106805133175,0.9937106628810605,0.9936350487799566,0.9818126683510592
