positive,negative,neutral
"I’m walking in the park, hand in hand with my loved one. It’s a beautiful summer Sunday afternoon, and I feel relaxed and happy. We’re in the park for a picnic, and we’re looking for a place to settle on the ground and enjoy food and each other’s company. We find a secluded spot under a big linden tree, and we spread our blanket under the tree. The place is perfect because the tree’s shade shelters us from the scorching hot sun and curious eyes. We kick off our shoes and lie on the soft blanket. Our picnic basket is full of different delicacies: strawberries, cakes and sparkling wine. My partner pops open the bottle of bubbly while I dig out the glasses. We raise our glasses, smiling, and exchange a light kiss. I taste the sweet, sparkling wine on your lips. “What a perfect day,” I think. We lie on the blanket and curl up against each other. A light wind blows over us as we lovingly look into each other’s eyes.","I join my friends in loud applause when the last band finishes playing. Part of the audience is still in a lively party mood when we start zigzagging our way through the crowd toward the exit. We walk toward the gates, and little by little, fewer people are around. I see in the distance a big, drunken man stumbling toward us. I don’t pay attention to him because I’m so involved in our conversation. Suddenly, the man is right next to us, and he falls against me. He smells like cigarettes and booze, and I jump away from him. I cannot hold back a sneer. The man is stumbling around, his eyes half closed, then he suddenly throws up on me. I wince in horror as the foul-smelling vomit splashes on me. It sprays on the front of my coat and on my jeans. I feel nauseous, and I feel my own vomit raising in my throat. The man’s yellow vomit drips from my coat onto my shoes and my bare hand.","I arrive home from a party and sit in front of a mirror to brush my hair. I went to a hairdresser before the party and received an amazing hairdo. They used a lot of hairspray at the hairdresser’s, so it’s going to be difficult to untangle my hair. They also back-combed my hair into an elegant beehive, which makes it even more difficult to handle. It would be a shame to undo such a fantastic hairdo, but I want to untangle my hair before going to bed. I know that in the morning, it would be even more difficult to untangle. I brush my hair carefully, starting from the sides. I hold my hair from the roots while I work through it. This way, brushing hurts less. When I have worked through my hair on the sides, I start untangling the back using a mirror. I work through my hair in small sections and my hair straightens and untangles surprisingly easily. I rub my scalp with my fingers for a moment, as it is a bit tender after the tight hairdo."
"It’s a sunny day in the mountains, and I’ve just taken a ski lift to the top. The sky is bright blue, and the sun is warming my face. It’s a perfect temperature for skiing. I stop for a moment to take in the wintry scenery. The snow-topped mountain peaks stretch toward the horizon. There are no trees at these altitudes, just some old, dead pines here and there. I see a ski hut at the bottom of the slope and decide to go there. The thought of a steaming cup of hot chocolate makes my mouth water. I push myself in motion and feel fantastically free when I slide down the slope. I first gather some speed, then make a controlled turn, which slows me down a little. My movements are relaxed and effortless. Powdery snow whirls behind me as I speed up again after the turn. I zigzag smoothly down the hill, the wind caressing my face.","I work at a company that cleans rental cabins. I’m on my way to clean a cabin that the previous tenants failed to clean properly before leaving a couple of weeks ago. I have a bad feeling about this because tenants often leave these cabins in terrible shape. I arrive at the cabin, and a rotten smell hits me as I open the door. I stop and let out a long, deep breath, then close my eyes as I start to feel nauseous. I make myself step inside. I try to hold my breath as I walk into the kitchen. A trash bin has fallen to the floor, and its contents have spilled onto the floor, staining the carpet. Maggots are crawling over the leftover food. I try not to think about what the other rooms must look like. I just know that I need to clean up this mess.","It’s an ordinary weekly meeting at my workplace, and we’re all gathered in the meeting room. Our team leader is in charge of the meeting, and occasionally, others take part in the conversation. The meeting’s tempo is easygoing, and the atmosphere is very concentrated. We go through the agenda, which includes goals for the next few months and employees’ roles and tasks. This time, I don’t have an active role, and I can concentrate more on listening. On the table in front of me is a cup of hot coffee and my calendar, which I use for taking notes. I pick up a pen and follow the slide show projected on the wall while sipping my coffee. A colleague next to me leans toward me and whispers something. I need to struggle to hear her. I nod in understanding and answer in a low voice, covering my mouth with my hand. I then turn my attention back to the speaker and the ongoing presentation."
"It’s Saturday morning, and I awaken well-rested. I put on my slippers and get the newspaper from the hall. I then walk into the kitchen, turn on the coffee maker and start preparing breakfast. I cut two slices of bread, spread some margarine on them and cut  some cucumber and tomato slices to put on them. While preparing my morning sandwich, I think about today’s events. I carry the breakfast to the kitchen table and open the newspaper before I sit down. First, I check the weather forecast. I hear that the coffee maker has stopped, so I return to the kitchen. I pour coffee into my usual mug and mix in some milk and sugar. I return to the table, sit down and take a bite of my sandwich. I drink my coffee while turning the pages of the newspaper, glancing at the headlines and looking for something interesting to read. I stop at a witty column. I take up a comfortable position in my chair, sip my coffee, and immerse myself in reading.","I’m standing near the entrance to the train station, waiting for my friend. A couple of drunks are sitting on the stairs, and I try to become invisible so that I won’t attract their attention. One of them shouts something, and I avoid looking at them. I hear grunting as one of them gets up and starts walking toward me. The pungent smell of urine and filth is distinct from afar. I move restlessly a few steps to the side, but the man is stumbling straight toward me. His face is scarred and sweaty, and his greasy hair is glued on his temples. I flinch when he grasps my sleeve. He’s explaining something in a rambling way, and spit spurts out from between his yellow teeth. The smell of old sweat and booze is so strong that I turn my face away. The man is jerking at my sleeve, and I feel uncomfortable. I try to hold my breath and not show how nauseous I feel.","Plenty of moving boxes remain in my home as I sit on a chair, concentrating on unpacking a box. I’m relieved that I marked each box with the room from which the contents came. I am now unpacking kitchen boxes. I cut the tape on the box and remove items. I consider where I should place every item and put them there. The radio is on in the background, and I listen to the music absent-mindedly. I hear a phone ring somewhere, and I recognize it as mine. I cannot remember where I put my phone. In the middle of the boxes, it is hard to locate the ringing sound. I lift some boxes and look for my phone. The ringing continues as I continue looking. “Perhaps I forgot it in the pocket of my coat,” I think to myself, as I search through the boxes."
"Autumn and pleasures. I enjoy a hike: Pleasures for the senses this morning, pleasure for the eyes this trip, while nothing is decided yet, and I walk in the sunny undergrowth. What surprises will there be on this beautiful day! What do I see there? What makes me think nature has awoken? What aroma do I sense? Could you imagine it? Under golden leaves chubby, well-wrapped and completely hidden, five pretty porcini mushrooms, kings of the forest, were hiding. I start to dream about my dinner: Oh beauty, oh the beautiful dish! Well-colored, probably well-packed, but the great feast of my hike, well exceeding my expectations of my morning. Not only did I look at my trophy, I admired their layout, I guessed their velvet feel, I already smelled my beautiful plate in my old fireplace: in short, my eyes were almost imprisoned by such a beauty born on a morning of such a lovely day.","I try to sit as far as possible from my bus neighbor: he smells terribly bad ... Not a simple, pungent smell, not an ordinary cheese smell; no, a throaty smell, mix of rotten fish and dried vomit ... Hm, precisely, I observe it and this supposition seems to me more and more plausible. His greenish complexion and his foul breath suggest that he is not at his best. I do not seem to be the only one disgusted by this terrible smell. On the other side, a little girl is holding her nose. The bus takes a turn. My neighbor takes a deep breath, but it's too late. Stirred by a contraction of his abdomen, he vomits with force. His head is thrown back. He puts his hand in front of his mouth, but that is not enough to stop this yellow liquid. The lumps of his food slip between his fingers to find themselves on my knees. It's my turn to be shaken by spasms and rush to the exit.","On leaving college with my friends, I noticed that the buses were no longer running. This disruption was due to the arrival of the President of the Republic in our charming city. So I decided to go home with my friends, since we lived more than three miles away. We were in the middle of winter and yet there was a beautiful sun and the temperatures were unusually mild, which made the trip rather enjoyable. Moreover, as there were several of us, we chatted and laughed, so that the journey passed quickly. Once we arrived in the city center, it was time for us to separate, because we lived in very different places. I found myself alone, thinking that the rest of the journey would henceforth be more painful. But I was totally mistaken. I passed through little streets that I did not know, along the river. I felt like I was rediscovering my city. It was a nice walk."
"I open one eye, and a bright blue sky invites me to rise quickly. I stand up: the lake is in front of me, more beautiful than ever, with ducklings walking behind their mother. A memorable night, spent under the stars, contemplating Orion and the Great Bear. With one bound, I get up to go and prepare lunch on the rusty camp stove. I prepare a coffee to refresh my ideas. Our camping trip is almost over. We have only to put away, in Jerome's old sky-blue Mustang, all our bags and camping equipment that my father let us borrow. We clean our grandfather's ground and I get in the car, passenger side, as always. After changing the radio several times, I hear Caliente. I stop my radio station quest, because I like this song. We begin to sing, I let myself be carried by the music that warms me and by the wind coming in through the window that refreshes me.","I had a day off and I decided to go out and take a walk in the woods. I didn't know the area, and I found an old building that seemed abandoned. As I entered the house, I felt like somebody was watching me. As I walked into a room I felt a chill, a distant silhouette was emerging through the only window, and I heard a humming sound that was gradually getting louder. As my stomach squeezed, a gust of wind snapped the door of a wardrobe. Next to it was a mirror, and with horror I saw that someone was standing behind me. Completely paralyzed, I watched him go through me, then disappear. When I was going home, I noticed that nobody answered my hellos or looked at me. As I went to bed, passing in front of my mirror, I had an intense sensation of uneasiness: the only reflection I saw was that of this someone that had just taken me from my existence, my own life.","I open the fridge and look for something to eat. I feel like eating something light, but tasty. There is a carton of milk in the door and a packet of margarine on the upper shelf. In the vegetable box, there are some tomatoes and a cucumber I just bought. I take the milk, margarine and vegetables to the kitchen counter and close the fridge. I reach up on my tiptoes to get the granola box and bread from the cupboard, then place them on the counter as well. I cut a few thick slices of bread and put them in the toaster, then put the rest of the loaf in a bag. While the bread is in the toaster, I cut some tomato and cucumber slices. I get a bowl from the cupboard and pour granola and milk into it. When the bread is toasted, I put the bread on a plate and spread margarine and the sliced vegetables on them. I carry the granola and sandwich to the table and sit down to enjoy my meal."
"I love it when I'm at home on a summer evening and a violent thunderstorm starts suddenly. Outside it gets cold, wet and uncomfortable. Especially on weekends I take the thunderstorm as an occasion to treat myself to a few really cozy hours. I make myself a hot chocolate that fills the whole living room with a delicious smell. Then I push the comfortable armchair close to the window and muffle myself into a cuddly blanket. This way I can watch the storm outside safe and protected. From time to time, I sip my chocolate and feel how the pleasant sweetness spreads warmly in my body. When it gets dark, I light candles and listen to the sound of the rain. But it gets really heavenly when my cat decides not to hide from the thunder anymore and to share the cozy hours with me. When he rolls up on my lap, purring, I stroke his soft fur and enjoy life while the world outside is washed clean.","My roommate isn't one of those guys who values cleanliness and order. He leaves his dirty clothes everywhere, never rinses the dishes and I don't even want to start with the stench that comes out of his room. But what he has achieved today caps it all off. We both spent the Easter holidays with our parents, so our apartment was empty. My roommate left one day after me and I came back one day before him. As I entered our apartment, a penetrating smell of decomposition wafted toward me and the air was filled with fat, humming flies. The moron had left an open pack of minced meat standing in the kitchen in summery temperatures! And even with the window tilted open! When I saw this teeming mass of decomposing flesh and the white maggot bodies, I vomited into the sink in a flood. I'm staying at a friend's place tonight. I'll leave the cleaning up to the ""fly breeder.""","Who loves the sun? Me, all my life, but as we know in the North, in Picardy the sun is not often there. As usual, before going to bed I looked at the weather: sunny with intermittent clouds and 25 degrees Celsius. After seeing this good news I went to my wardrobe and took out shorts, a floral t-shirt and a pair of sandals. After hanging my vest on my coat door I went to bed. I could finally close my eyes in tranquility, and dream of the day that would await me. Unfortunately, when I woke in the morning I had the bad surprise that it was raining and that we could not distinguish or even expect any rays of sun for the whole day. Therefore, annoyed, I had to go back to my wardrobe, store my clothes I took out the day before, to get out the warmest ones to face this day; I went out carrying an umbrella."
"That year's local festival was a very special one. The night was very clear and calm, one of those nights that make you put on a sweater, unless you're going to be dancing and jumping around all the time. Which is what I was doing. What a wonderful night! There were some great bands playing in all the town's squares, and people were going from one to another, having fun, leaping about and dancing. You said hello to everyone, and everyone hugged and kissed you. There was a really good atmosphere. As the night wore on, people started going home, but I stayed on chatting to a boy. He suggested that we go and watch the sunrise from an unusual spot on the mountain. We walked along, talking and enjoying the countryside, and then we sat on a big rock that gave us a wonderful view of the valley, and the sun began to warm us. The day had arrived, but the magic of the night continued in that quiet, inhospitable place. It was a really nice end to the festival.","I am angry at whoever made some days seem so long. Although they all have the same number of hours, there are some days that seem longer than usual. Today is one of them. As early as I woke up, I felt I should not have woken up. My legs hurt and I do not feel like dragging myself to the same coffee bar chair where I pretend that my life is good. The breathing of the man at the table next to me irritates me. It makes me dig my nails into the wood of the table and scratch it as if my nails were steel. Not to mention the noise that he makes when chewing that cake that he asks for every Wednesday. I can hear every detail of that man's digestive process. His mouth opening, his teeth grinding and chewing, his saliva mixing with the bits of food. It feels like my hearing has been amplified. Every little noise, imperceptible to other human beings, annoys me. It makes my brain boil, my feet jump constantly and my hands close in clenched fists. Involuntarily, I punch the table top whilst I shout at the man in question, ""Can't you hear yourself?"" He is perplexed. He does not utter a single word. He puts down the cup of coffee, the half-cake, pays the bill, and leaves. He never comes through that door again.","It's an ordinary Tuesday morning in the office. I'm sitting on my office chair in front of my computer and am waiting until it boots. Then I hear a gentle ping. Like the sound of the proverbial pin falling to the ground. It's not a pin, it's a paper clip. Where did it come from? I don't have any paper clips anymore since I switched my office to paperless. I eyeball the utensil and I don't know why I'm doing this. It's a simple paper clip. A small piece of bent metal wire with which you can hold sheets of paper together and later loosen them again. I wonder who invented it. How did the inventor come up with the idea? Did they just think of it that way? The inventor must have worked on it for a while. Maybe even years. Was it his life's work? If so, did he get any credit for it? Maybe I'll get to the root of it sometime. Someday. But not now: now, back to work."
"The alpine herbs smell wonderfully fresh in the morning hours. Place the paraglider on the cool grass and start running. Then it's like a stroke of a bird's wing and I … float. I look east to the Finsteraarhorn and west to the Matterhorn and feel in awe of these white peaks, above them the blue of the sky. I reach out with my arms and embrace the whole world with happiness. An eagle flies directly toward me. Just in front of me it veers away, flies to my left wing and we turn our circles. My heart bounces – flying with an eagle means bliss to me. The eagle swings up faster to new heights and I see the red peaks in the south. The forest shines in the sun's rays from yellow to light green to dark green. Time to land – I look at my meadow and land gently like an angel on Earth. What remains is the wonderful feeling, a flight – an unforgettable, fascinating experience.","Everything happened on a regular day at March. Surely it would be a good day because they were serving roast beef at lunch! (If you are not a student struggling to get by, you won't understand what this means). But something happened and I ran late to lunch. Even though my friend insisted I chose the line, she knows I didn't, because I believe that other line was cursed. I couldn't believe my eyes: they were out of beef and serving chicken instead. Cold, leftover chicken. We bowed to our bad luck and took our chicken, and found a table. That day, that table was the first time I saw him. But neither of us was aware of that. We were about to start our lunch: ""Wait, what's that?"" They had started to serve beef again! Now this is a combination of tragedy, regret and despair. So unfair and so cold. But if I had another chance, if I knew that I would be meeting him, I would choose the same line: you didn't really expect me to say that, did you? Some regrets in life should never happen, dear friends. If you have a chance to choose beef over chicken, take the beef. Otherwise you will regret it.","Shortly after work I enter the supermarket, which is right around the corner. Because of it's proximity, I almost always shop here. The shopping trolleys are right next to the entrance. I dig a coin out of my pocket and slide it into the coin compartment of the next trolley. With a single jerk, I pull the trolley out of the line-up and find the shopping list in my pocket. The writing on it is almost indecipherable. I steer the trolley through the various departments of the supermarket and keep an eye out for all the items I need according to the list. Apple, milk, eggs, sugar and flour all end up in my trolley one by one. Many other products try to tempt me, but I remain steadfast and go straight to the checkout. I pay for my purchases in cash and head home to bake an apple pie."
"The Maldives are beautiful. I am sitting in a boat with a dozen fellow divers; in order to, in a couple of seconds, take the first vacation dive in the water with my dear wife. Slowly we glide down to a depth of 30 meters, where the dive guide takes us into a fascinating underwater world. We dive on a reef with medusas, corals and a lot of small colorful fish, as the guide signals us that we, the last ones still in water, should surface independently. Then he disappears and we have the sea all to ourselves when it suddenly gets dark. Baffled, we look up and see three huge manta rays which sail elegantly through the water and make a looping right in front of us. Wow – every diver's dream has come true. This experience of shared joy makes me smile even decades later. Thank you, dear mantas, for this unforgettable moment!","I was lucky enough to do my mandatory internship in a firm that offers a minimum wage. The firm said that we would get our payment at the 5th of each month. So, I decided to offer my friends a meal on the 6th. I told them we would spend my first salary together, and that made them very happy. On the 6th, we prepared: a friend picked us up with his car, seven of us including my girlfriend and I, to go to a restaurant. We ordered almost everything on the menu, tasted everything. Even so we ordered dessert (which is a rare event for a student, unless you are the child of a member of parliament or such like). We ate until we are completely full, then asked for the check. I gave my credit card to the waiter, entered my PIN and waited. The waiter said, ""Sir, not enough balance."" I was shocked: ""How come? I just got paid, try again,"" and he did, but again not enough balance. All of us paid our checks separately, and if that was not enough, they even had to pay mine, because I had no money. Later I found out they weren't paying the interns.","The day was almost over. In my thoughts, I recall it in my mind. I took a detour and walked across the fields bordering the country road. In the distance, I could see a small forest. After some time, I reached a pasture, which was about halfway between the country road and the small forest. On the pasture there were two horses, a big black one and a small brown one. One grazed further to the back of the pasture, while the other one stood at the fence next to a cart track. They both seemed to be ignoring me. At the end of the cart track there was a car with an open trunk. In the back of the car were various brushes and other horse-care utensils. A middle-aged man, apparently the owner of the horses, got out of the car and greeted me. I talked to him for a moment and then continued on my way home."
"The place is the MEB Sports Hall ... Me and one of my best friends, Cem, have a match against our old club. I could not play in the match because I injured my heel in a stupid match before. I wanted to play this match so much that I cried when my friends took their position on the court. We had a good start and took the lead. At half time, we went to the locker room in advance. When the team returned from the locker room, we had the same opponent but a different referee team. In the very beginning, we could not get how our two coaches were sent off without reason. Twelve teenagers, 15 years old, felt like fish out of water. I was running to the hall, taking our coach's commands and conveying them clumsily to my friends. There were players who had cramps, who injured themselves to get the ball. Unbelievable motivation. I haven't seen such a dedicated and connected twelve players. The match nearly came to a draw but for our coaches and ourselves: we pushed our limits and won the match. In the end we were so happy. It was an extraordinary youth match. After that we saw that referee team four times and they conducted the matches appropriately.","It was a quarter past eight when I started my day. The weather was great and the birds were chirping beautifully. I had my breakfast and started studying, but I was so caught up with it, I didn't realize it was already time for my lesson. I ran to class and made it in the last second. My friend came before me and sat down in the front row, and I had to sit down on the corner of the last row. I could hear the instructor's voice clearly but couldn't see anything that was written on the board. After too long classes, I was hungry. I met my friends and we went to the cafeteria, but it was everyone's lunch time and we were a little late because of our instructor. There was a long line in front of us. We talked while waiting in the line: when it was my turn to pass through the till, it gave the 'not enough balance' warning. My friends were already through. I told them not to wait for me and went to load my card, but the loading machine was broken, too. I left the cafeteria full of anger and returned to my dormitory.","I have three dogs and two cats. I and five animals are living in this house: it's not a big house but I haven't heard any complaints yet. I always liked animals and enjoy living with them. First I adopted a cat, then a dog, then the rest followed. The only thing I had a hard time getting used to is the pad pad sound at nights that comes from their paws when they walk on the hard floor. At nights there is always this sound: they get up to eat, play, go to the toilet, etc. One of them is always awake even though the others are sleeping. For many nights I stare at the ceiling wide awake waiting for all of them to fall asleep. Those moments are too rare and they pass too quickly: before I fall asleep, one of them wakes up. So, the only solution is getting used to this sound, and that's what I did. After years, lately I have been lying in bed awake listening to the sounds that are coming from outside my door. Like I said, these sounds won't bother me normally, but I have been living alone for some time and it bothers me."
