id,image_path
neg_1,negative/Destruction 3.jpg
neg_2,negative/Destruction 4.jpg
neg_3,negative/Destruction 6.jpg
neg_4,negative/Destruction 7.jpgv
neg_5,negative/Dirt 1.jpg
neg_6,negative/Garbage dump 2.jpg
neg_7,negative/Garbage dump 3.jpg
neg_8,negative/Garbage dump 4.jpg
neg_9,negative/Garbage dump 6.jpg
neg_10,negative/Jail 2.jpg
mid_1,neutral/Bar 1.jpg
mid_2,neutral/Camping 10.jpg
mid_3,neutral/Grass 1.jpg
mid_4,neutral/Grass 2.jpg
mid_5,neutral/Grass 3.jpg
mid_6,neutral/Grass 5.jpg
mid_7,neutral/Road 1.jpg
mid_8,neutral/Solar panel 1.jpg
mid_9,neutral/Street 3.jpg
mid_10,neutral/Thunderstorm 2.jpg
pos_1,positive/Beach 1.jpg
pos_2,positive/Beach 2.jpg
pos_3,positive/Fireworks 1.jpg
pos_4,positive/Fireworks 2.jpg
pos_5,positive/Lake 1.jpg
pos_6,positive/Lake 2.jpg
pos_7,positive/Lake 8.jpg
pos_8,positive/Lake 9.jpg
pos_9,positive/Rainbow 1.jpg
pos_10,positive/Rainbow 2.jpg
