,model,option,baseline,positive,neutral,negative
0,gemma-3-4b-it norm bank,good,0.22804307061237228,0.2289922240382125,0.1815179478510996,0.2123946102105019
1,gemma-3-4b-it norm bank,ok,0.4359467697056656,0.4078526760840259,0.46088498339645395,0.27118223188611285
2,gemma-3-4b-it norm bank,bad,0.33601015968196213,0.36315509987776157,0.3575970687524465,0.5164231579033852
3,Llama-3.2-3B-Instruct norm bank,good,0.025988066072557662,0.05181162190407276,0.04131695669938992,0.026766691735535097
4,Llama-3.2-3B-Instruct norm bank,ok,0.17796853512258554,0.1856733173828458,0.15120777592964837,0.12516155406866675
5,Llama-3.2-3B-Instruct norm bank,bad,0.7960433988048567,0.7625150607130814,0.8074752673709616,0.8480717541957979
6,Qwen3-4B norm bank,good,0.07500460776038322,0.11147156642405388,0.09087218726432483,0.0795772484294946
7,Qwen3-4B norm bank,ok,0.806133414596495,0.7258670963564304,0.7399498526262092,0.5891897762328514
8,Qwen3-4B norm bank,bad,0.11886197764312191,0.16266133721951564,0.16917796010946595,0.33123297533765406
9,GPT-4.1 norm bank,good,0.3492043851906813,0.3323560197354368,0.3076106461741549,0.2888121785779258
10,GPT-4.1 norm bank,ok,0.3607833603949665,0.34499484248388573,0.3368660839056914,0.3816701051648257
11,GPT-4.1 norm bank,bad,0.29001225441435224,0.32264913778067755,0.3555232699201536,0.32951771625724846
